2023-07-12 14:58:25.4683|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KLH5631O" sending DATA frame for stream ID 7 with length 8867 and flags NONE. |url: |action: |
2023-07-12 14:58:25.4683|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KLH5631O" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. |url: |action: |
2023-07-12 14:59:14.2987|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |
2023-07-12 14:59:14.3022|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-07-12 14:59:14.3022|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |
2023-07-12 14:59:14.3022|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-07-12 14:59:14.3022|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-07-12 14:59:14.3167|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" received HEADERS frame for stream ID 1 with length 2659 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-12 14:59:14.3377|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-07-12 14:59:14.4082|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |
