2023-08-24 16:34:10.9445|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 7 with length 14447 and flags NONE. |url: |action: |
2023-08-24 16:34:10.9445|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4FJHF1IU4" sending DATA frame for stream ID 7 with length 0 and flags END_STREAM. |url: |action: |
2023-08-24 17:24:38.3793|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. |url: |action: |
2023-08-24 17:24:38.3832|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-24 17:24:38.3832|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" received SETTINGS frame for stream ID 0 with length 30 and flags NONE. |url: |action: |
2023-08-24 17:24:38.3832|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-08-24 17:24:38.3832|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. |url: |action: |
2023-08-24 17:24:38.3832|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" received HEADERS frame for stream ID 1 with length 2605 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-24 17:24:38.4057|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. |url: |action: |
2023-08-24 17:24:38.4714|0|TRACE|Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware|All hosts are allowed. |url: https://localhost/swagger/index.html|action: |
2023-08-24 17:24:38.6662|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |
2023-08-24 17:24:38.7735|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-24 17:24:38.7735|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-24 17:24:38.7735|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-24 17:24:38.7735|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-08-24 17:24:38.7735|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 1 with length 999 and flags NONE. |url: |action: |
2023-08-24 17:24:38.7735|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |
2023-08-24 17:24:38.7735|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 1 with length 16 and flags NONE. |url: |action: |
2023-08-24 17:24:38.7882|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |
2023-08-24 17:24:38.8165|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" received HEADERS frame for stream ID 3 with length 219 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-24 17:24:38.8165|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" received HEADERS frame for stream ID 5 with length 2341 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-08-24 17:24:38.8198|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |
2023-08-24 17:24:38.8198|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 3 with length 11998 and flags NONE. |url: |action: |
2023-08-24 17:24:38.8198|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. |url: |action: |
2023-08-24 17:24:38.8400|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMT4GFO2CN0J" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |
